Sample.id,group,Days,用于提DNA的样本重量（mg）,DNA总体积（ul）,16s-ct-1,16s-ct均值, log 10 (16s浓度),16s浓度 (ng/ul),16s拷贝数（copies/μl）,16s拷贝数（copies/mg样本),,,,ct值,16s 338-515 ng/ul,1og 10 ng/ul
D-7-C1,Control,Day-7,17.4,50,8.92,8.92,1.89,76.99,24468911996,70312965505,,,,9.07,86.6,1.937517892
D-7-C2,Control,Day-7,24.1,50,7.9,7.9,2.21,163.94,52101551848,1.08E+11,,,,13.68,8.66,0.937517892
D-7-C3,Control,Day-7,38.7,50,9.38,8.35,2.07,117.45,37328510340,48228049535,,,,14.17,0.866,-0.062482108
D-7-C4,Control,Day-7,25.9,50,8.27,8.27,2.1,124.63,39608159206,76463627810,,,,17.4,0.0866,-1.062482108
D-7-C5,Control,Day-7,13.7,30,9.41,9.41,1.73,53.55,17018945948,37267764851,,,,19.71,0.00866,-2.062482108
D0-C1,Control,Day0,18.1,50,13.97,13.97,0.26,1.82,579892818.7,1601913864,,,,24.15,0.000866,-3.062482108
D0-C2,Control,Day0,21.3,50,22.03647787,22.03647787,-2.334438578,0.004629791,1471404.502,3454001.178,,,,28.42,0.0000866,-4.062482108
D0-C3,Control,Day0,21.9,50,10.0951472,10.0951472,1.50828163,32.23158254,10243592382,23387197219,,,,,,
D0-C4,Control,Day0,14.8,50,20.90438939,20.90438939,-1.970132505,0.010711924,3404380.968,11501287.05,,,,,,
D4C1,Control,Day4,22.7,50,7.798657663,7.798657663,2.247291964,176.7225478,56164593898,1.24E+11,,,,,,
D4-C2,Control,Day4,29.6,50,8.163740614,8.163740614,2.12980827,134.8367482,42852772895,72386440700,,,,,,
D4-C3,Control,Day4,27.3,50,7.109460032,7.109460032,2.469075762,294.4935327,93593657844,1.71E+11,,,,,,
D4-C4,Control,Day4,29.5,50,8.089507131,8.089507131,2.153696605,142.4612023,45275917946,76738843975,,,,,,
D7C1,Control,Day7,NA,NA,,,,,,,,,,,,
D7-C2,Control,Day7,33.6,50,9.52,9.52,1.693364,49.35873264,15686810817,23343468477,,,,,,
D7-C3,Control,Day7,34,50,9.83,9.83,1.593606,39.22888822,12467421976,18334444082,,,,,,
D7-C4,Control,Day7,19.8,50,9.46,9.46,1.712672,51.60264941,16399955098,41414028025,,,,,,
D8C1,Control,Day8,30.6,50,8.04,8.04,2.169628,147.7841983,46967631392,76744495738,,,,,,
D8-C2,Control,Day8,14.4,50,8.92,8.92,1.886444,76.99171612,24468911996,84961499985,,,,,,
D8-C3,Control,Day8,15.6,50,8.37,8.37,2.063434,115.7268148,36779401599,1.18E+11,,,,,,
D8-C4,Control,Day8,34.6,50,9.09,9.09,1.831738,67.87940081,21572906391,31174720218,,,,,,
