Sample.id,group,Days,用于提DNA的样本重量（mg）,DNA总体积（ul）,AP.copri2 ct值-1,AP.copri2-ct均值, log 10 (P.copri浓度),P.copri 浓度ng/ul,P.copri拷贝数（copies/μl）,P.copri拷贝数（copies/mg样本)
D0C1,Control,Day0,18.1,50,35.9,35.9,-7.352394604,4.44E-08,12.32,34.04
D0-C2,Control,Day0,21.3,50,37.03,37.03,-8.552727446,2.80E-09,0.78,1.82
D0-C3,Control,Day0,21.9,50,33.29,33.29,-7.332230641,4.65E-08,12.91,29.47
D0-C4,Control,Day0,14.8,50,39.96,39.96,-9.511028,3.08E-10,0.09,0.29
D0-P1,P. copri,Day0,15.5,50,33.93,33.93,-7.540000004,2.88E-08,8,25.81
D0-P2,P. copri,Day0,13.4,50,36.33,36.33,-8.323309689,4.75E-09,1.32,4.92
D0-P3,P. copri,Day0,14.2,50,39.96,39.96,-9.51095285,3.08E-10,0.09,0.3
D0-P4,P. copri,Day0,16.5,50,34.14,34.14,-7.608072193,2.47E-08,6.84,20.73
D0-P5,P. copri,Day0,7.8,50,38.74,38.74,-9.111292566,7.74E-10,0.21,1.38
D0-PB1,P. copri+Bo Sup,Day0,20.1,50,39.33,39.33,-9.304678916,4.96E-10,0.14,0.34
D0-PB2,P. copri+Bo Sup,Day0,18.9,50,36.41,36.41,-8.350689115,4.46E-09,1.24,3.27
D0-PB3,P. copri+Bo Sup,Day0,27.6,50,36.93,36.93,-8.520765674,3.01E-09,0.84,1.52
D0-PB4,P. copri+Bo Sup,Day0,24.3,50,37.49,37.49,-8.705071328,1.97E-09,0.55,1.13
D0-PB5,P. copri+Bo Sup,Day0,15.9,50,37.54,37.54,-8.720301258,1.90E-09,0.53,1.66
D4C1,Control,Day4,22.7,50,32.49,32.49,-7.069391762,8.52E-08,23.64,52.08
D4-C2,Control,Day4,29.6,50,33.44,33.44,-7.380901356,4.16E-08,11.54,19.49
D4-C3,Control,Day4,27.3,50,33.86,33.86,-7.517734641,3.04E-08,8.42,15.42
D4-C4,Control,Day4,29.5,50,33.44,33.44,-7.379647858,4.17E-08,11.57,19.62
D4-P1,P. copri,Day4,21.3,50,22.27,22.27,-3.730767595,0.00018588,51564.78,121044.08
D4-P2,P. copri,Day4,22.2,50,32.7,32.7,-7.14002193,7.24E-08,20.1,45.26
D4-P3,P. copri,Day4,29.6,50,31.58,31.58,-6.772681132,1.69E-07,46.82,79.09
D4-P4,P. copri,Day4,28.2,50,32.35,32.35,-7.023020765,9.48E-08,26.31,46.65
