ID	shannon
FCF191901	5.405204341
FCF191902	4.419031952
FCF191903	6.036639492
FCF191904	5.8068772
FCF191905	4.625433917
FCF191907	4.455218437
FCF191908	5.685826549
FCF191909	5.878326706
FCF191910	5.552781673
FCF191911	5.258014509
FCF191912	5.402168603
FCF191913	4.75624649
FCF191914	4.844785973
FCF191916	5.086174248
FCF191917	5.57538693
FCF191918	5.183826738
FCF191919	5.256299042
FCF191920	5.531861152
FCF191921	5.753890813
FCF191922	4.97991407
FCF191923	5.531014709
FCF191924	5.311181024
FCF191925	5.226378079
FCF191926	2.431509668
FCF191927	5.446800255
FCF191928	5.57600698
FCF191929	4.075120991
FCF191930	3.546446391
FCF191931	5.529479504
FCF191932	5.123689152
FCF191933	4.40357931
FCF191934	5.188311946
FCF191935	5.359220623
FCF191936	4.873764233
FCF191938	5.412076112
FCF191939	5.361038571
FCF191941	4.650632954
FCF191942	5.533235039
FCF191943	4.993653768
FCF191944	4.745819458
FCF191945	5.176212643
FCF191946	5.790912612
FCF191947	5.546831284
FCF191948	5.234223485
FCF191949	5.500490023
FCF191950	5.685236633
FCF191951	5.022921864
FCF191952	4.821244669
FCF191953	5.780837583
FCF191954	5.431635509
FCF192001	4.746629845
FCF192002	5.421853484
FCF192003	5.228082599
FCF192004	5.893044019
FCF192005	5.189136009
FCF192006	5.108274995
FCF192009	5.496136798
FCF192010	5.719333991
FCF192011	4.891500797
FCF192012	5.876689173
FCF192013	3.492635062
FCF192014	5.802250701
FCF192016	5.58616971
FCF192017	5.410581237
FCF192018	5.623544611
FCF192019	5.626141316
FCF192020	5.575425627
FCF192021	5.156453256
FCF192022	6.105961254
FCF192023	5.191350163
FCF192024	5.476138735
FCF192025	5.60321379
FCF192026	5.22681285
FCF192027	3.685230098
FCF192028	5.505147862
FCF192029	5.640971684
FCF192030	5.591463515
FCF192031	5.122264006
FCF192032	4.942861779
FCF192034	6.053883912
FCF192035	4.62802936
FCF192036	5.223386238
FCF192037	5.675989669
FCF192038	5.32624482
FCF192039	4.989352477
FCF192041	5.166246898
FCF192042	5.61443894
FCF192044	5.085935072
FCF192045	5.250661496
FCF192046	6.223216586
FCF192047	4.623092917
FCF192048	5.723679979
FCF192049	5.981659563
FCF192050	5.323935987
FCF192051	4.916304485
FCF192052	4.886284435
FCF192053	5.789689453
FCF192054	5.535244677
FCF192055	6.084669879
FCS191901	2.872492601
FCS191902	4.889899301
FCS191903	5.221383448
FCS191904	3.389853364
FCS191905	4.452093068
FCS191906	4.40930086
FCS191907	4.834273327
FCS191908	3.826886215
FCS191909	5.17180787
FCS191910	3.323884915
FCS191911	3.76152904
FCS191912	4.924330249
FCS191913	4.895507198
FCS191914	3.889563514
FCS191915	3.730765561
FCS191916	4.853937658
FCS191917	3.62057777
FCS191918	4.502639001
FCS191919	3.22399592
FCS191920	4.372790599
FCS191921	3.336465454
FCS191922	4.424174561
FCS191923	4.346090021
FCS191924	4.837015755
FCS191926	3.365060955
FCS191927	4.575520228
FCS191928	3.707373923
FCS191930	4.491030297
FCS191931	2.314875529
FCS191932	4.484202709
FCS191933	3.802127312
FCS191934	3.855705303
FCS191935	5.032744843
FCS191936	4.378081702
FCS191937	2.471313088
FCS191938	3.27019858
FCS191939	5.108410143
FCS191940	2.953813138
FCS191941	4.582505792
FCS191942	4.217488286
FCS191944	4.848081918
FCS191945	4.520610347
FCS191946	2.320206245
FCS191947	3.927117195
FCS191948	2.895411295
FCS191949	3.985761241
FCS191950	3.235541568
FCS191951	4.675803825
FCS191953	5.228759706
FCS191954	5.125103476
FCS191955	4.985274751
FCS192001	5.204394995
FCS192002	4.99422815
FCS192003	4.680227589
FCS192004	4.654523122
FCS192005	5.148458358
FCS192006	2.653622965
FCS192007	3.33397356
FCS192008	4.492047171
FCS192009	4.170829754
FCS192011	2.660595297
FCS192012	4.34252872
FCS192013	3.470199485
FCS192014	2.702502596
FCS192015	4.884796384
FCS192016	5.008568149
FCS192017	4.490880272
FCS192018	2.508253553
FCS192019	5.061302797
FCS192020	3.049829494
FCS192021	3.985204268
FCS192022	3.796140633
FCS192023	2.539698962
FCS192024	4.268953792
FCS192025	3.418691588
FCS192026	3.292412096
FCS192028	5.066002984
FCS192029	3.676220687
FCS192030	4.336849009
FCS192031	4.310779551
FCS192032	3.816300141
FCS192033	4.095089285
FCS192034	4.567336814
FCS192035	3.46964253
FCS192036	4.849232182
FCS192037	2.895821846
FCS192039	3.311728109
FCS192040	4.024856989
FCS192041	4.946149952
FCS192042	3.104006478
FCS192044	4.484520457
FCS192045	4.88486546
FCS192046	4.900091448
FCS192047	2.218245842
FCS192048	4.41085415
FCS192049	5.174722434
FCS192050	5.213071058
FCS192051	5.22384934
FCS192052	4.565923387
FCS192053	5.104957604
FCS192054	3.603378474
FCS192055	5.006658272
FCV191901	4.781891852
FCV191902	5.000999429
FCV191903	5.228131567
FCV191904	4.74616112
FCV191905	4.989150973
FCV191906	4.677104791
FCV191907	5.077246218
FCV191908	4.621672445
FCV191909	4.182981952
FCV191910	5.110208464
FCV191911	4.855752762
FCV191912	5.062354336
FCV191913	4.122768508
FCV191914	4.51182335
FCV191915	4.706180125
FCV191916	5.185588496
FCV191917	4.904238734
FCV191918	5.425525981
FCV191919	4.53743121
FCV191920	4.518933372
FCV191921	4.8470419
FCV191922	4.312334616
FCV191923	4.887343858
FCV191924	4.722984021
FCV191925	4.867713574
FCV191926	5.244862767
FCV191927	4.649609141
FCV191928	4.305601955
FCV191929	5.074090223
FCV191930	4.656794973
FCV191931	5.384317307
FCV191932	4.671368469
FCV191933	4.384882372
FCV191934	5.03611405
FCV191935	5.227060836
FCV191936	4.573142295
FCV191937	4.465742667
FCV191938	4.660344994
FCV191939	4.797227522
FCV191940	4.28678747
FCV191941	4.532788751
FCV191942	4.78075399
FCV191943	4.724145986
FCV191944	5.015102368
FCV191945	4.634223476
FCV191946	4.230205871
FCV191947	5.134891832
FCV191948	4.665454305
FCV191949	4.25783553
FCV191950	4.512166782
FCV191951	5.337786553
FCV191952	5.119950458
FCV191953	4.759934058
FCV191954	4.710959665
FCV191955	4.214528052
FCV192001	4.499182233
FCV192002	4.274592528
FCV192003	4.410195252
FCV192004	5.035238033
FCV192005	4.636330812
FCV192006	4.542673811
FCV192007	4.381481314
FCV192008	5.140045337
FCV192009	4.749248419
FCV192010	5.129826808
FCV192011	5.003042735
FCV192012	4.616309836
FCV192013	4.634022437
FCV192014	4.835051158
FCV192015	4.955864415
FCV192016	5.067144689
FCV192017	4.191278575
FCV192018	4.868228183
FCV192019	4.914642402
FCV192020	4.266314036
FCV192021	4.538627538
FCV192022	4.820961213
FCV192023	4.770802891
FCV192024	4.703478718
FCV192025	4.492848235
FCV192026	5.182394216
FCV192027	4.967962089
FCV192028	5.139015641
FCV192029	4.614330839
FCV192030	4.958985872
FCV192031	4.272714594
FCV192032	4.388282366
FCV192033	4.52013764
FCV192034	4.968394043
FCV192035	4.242379823
FCV192036	4.771619193
FCV192037	4.863722173
FCV192038	4.733910332
FCV192039	4.423489492
FCV192040	4.281497178
FCV192041	4.240146884
FCV192042	4.254647663
FCV192043	4.514756353
FCV192044	4.616344934
FCV192045	4.550797279
FCV192046	4.536579787
FCV192047	4.630966509
FCV192048	4.908798897
FCV192049	4.819586078
FCV192050	4.579926025
FCV192051	4.501371253
FCV192052	4.375255782
FCV192053	4.66371199
FCV192054	4.975629429
FCV192055	5.360976168
FVF11601	6.128156263
FVF11602	4.629210114
FVF11603	5.319569936
FVF11604	5.97257923
FVF11605	6.677695137
FVF11606	5.899880794
FVF11607	6.329667707
FVF11608	5.435937023
FVF11609	5.355535081
FVF11610	5.768728699
FVF11611	5.680940154
FVF11612	3.763431467
FVF11613	4.698982191
FVF11614	3.84063409
FVF11615	4.091300655
FVF11616	5.190880025
FVF11618	5.593328934
FVF11619	3.952559124
FVF11620	5.960248933
FVF11621	5.085523097
FVF11622	4.846062142
FVF11623	4.171776892
FVF11624	5.545850437
FVF11625	4.870101103
FVF11627	4.595902482
FVF11628	5.96916921
FVF11629	3.06812694
FVF11630	4.279762326
FVF11631	4.353624027
FVF11633	5.497774044
FVF11634	5.514054771
FVF11635	5.939836096
FVF11636	4.449811052
FVF11637	5.798736961
FVF11638	5.520328549
FVF11639	4.963248406
FVF11640	4.92845255
FVF11641	5.672718791
FVF11642	5.258860097
FVF11643	5.210964488
FVF11644	5.107295124
FVF11645	6.011295668
FVF11646	5.237790741
FVF11647	4.940608011
FVF11701	5.314181476
FVF11702	5.743952822
FVF11703	5.742366172
FVF11704	6.098540159
FVF11705	6.191574723
FVF11706	5.77410961
FVF11707	6.244718823
FVF11708	5.968679336
FVF11709	5.000384381
FVF11710	5.572355162
FVF11711	6.007478551
FVF11712	4.823743791
FVF11713	5.12718603
FVF11714	5.659281986
FVF11715	5.601414839
FVF11716	6.402130101
FVF11717	6.161648018
FVF11718	5.99772609
FVF11719	5.736068017
FVF11720	6.230290275
FVF11721	5.73401368
FVF11722	5.230100482
FVF11723	4.907438377
FVF11724	5.211382372
FVF11725	6.218326986
FVF11726	5.22091381
FVF11727	5.718199574
FVF11728	4.978103462
FVF11729	4.877682863
FVF11730	5.137432772
FVF11731	6.157560263
FVF11732	4.203013944
FVF11733	6.318257289
FVF11734	6.553456249
FVF11735	5.170551291
FVF11736	5.77443674
FVF11737	6.031739375
FVF11738	5.949798649
FVF11739	5.868529364
FVF11740	5.206918769
FVF11741	5.733832276
FVF11742	6.236300689
FVF11743	6.197738964
FVF11744	5.180940036
FVF11745	5.900020411
FVF11801	4.974351534
FVF11802	4.577274193
FVF11803	5.824546252
FVF11804	5.987788945
FVF11805	5.176742198
FVF11806	6.002475018
FVF11807	6.253323723
FVF11808	5.378567191
FVF11809	4.196942699
FVF11811	4.868552057
FVF11812	6.123663692
FVF11813	6.412935445
FVF11814	5.485587024
FVF11815	5.39279785
FVF11816	3.76091065
FVF11817	6.169997947
FVF11818	4.886778777
FVF11819	5.619209639
FVF11820	5.566639733
FVF11821	4.599581679
FVF11822	5.452079449
FVF11823	5.830257772
FVF11824	5.493172771
FVF11825	4.797450543
FVF11826	6.215568978
FVF11827	6.068681022
FVF11828	6.058394009
FVF11829	5.100477828
FVF11830	5.718250947
FVF11831	5.550119926
FVF11832	6.32295389
FVF11833	6.178722418
FVF11834	5.702007802
FVF11835	5.794108804
FVF11836	4.81492303
FVF11837	6.351907194
FVF11838	5.383218557
FVF11839	5.411552918
FVF11840	5.311601797
FVF11841	5.641445452
FVF11842	5.842334303
FVF11843	5.793073883
FVF11844	5.271949847
FVF11845	5.69976573
