Sample.id	Group	Type	Time	Group1
D0-P1-2	P. copri	Feces of mice	day0	Baseline
D0-P2-2	P. copri	Feces of mice	day0	Baseline
D0-P3-2	P. copri	Feces of mice	day0	Baseline
D0-P4-2	P. copri	Feces of mice	day0	Baseline
D0-P5-2	P. copri	Feces of mice	day0	Baseline
D0-PB1-2	P. copri+Bo Sup	Feces of mice	day0	Baseline
D0-PB2-2	P. copri+Bo Sup	Feces of mice	day0	Baseline
D0-PB3-2	P. copri+Bo Sup	Feces of mice	day0	Baseline
D0-PB4-2	P. copri+Bo Sup	Feces of mice	day0	Baseline
D0-PB5-2	P. copri+Bo Sup	Feces of mice	day0	Baseline
D4-P1-2	P. copri	Feces of mice	day4	P. copri_day4
D4-P2-2	P. copri	Feces of mice	day4	P. copri_day4
D4-P3-2	P. copri	Feces of mice	day4	P. copri_day4
D4-P4-2	P. copri	Feces of mice	day4	P. copri_day4
D4-P5-2	P. copri	Feces of mice	day4	P. copri_day4
D4-PB1-2	P. copri+Bo Sup	Feces of mice	day4	P. copri+Bo Sup_day4
D4-PB2-2	P. copri+Bo Sup	Feces of mice	day4	P. copri+Bo Sup_day4
D4-PB4-2	P. copri+Bo Sup	Feces of mice	day4	P. copri+Bo Sup_day4
D4-PB5-2	P. copri+Bo Sup	Feces of mice	day4	P. copri+Bo Sup_day4
D8-P1-2	P. copri	Feces of mice	day8	P. copri_day8
D8-P2-2	P. copri	Feces of mice	day8	P. copri_day8
D8-P3-2	P. copri	Feces of mice	day8	P. copri_day8
D8-P4-2	P. copri	Feces of mice	day8	P. copri_day8
D8-P5-2	P. copri	Feces of mice	day8	P. copri_day8
D8-PB1-2	P. copri+Bo Sup	Feces of mice	day8	P. copri+Bo Sup_day8
D8-PB2-2	P. copri+Bo Sup	Feces of mice	day8	P. copri+Bo Sup_day8
D8-PB3-2	P. copri+Bo Sup	Feces of mice	day8	P. copri+Bo Sup_day8
D8-PB4-2	P. copri+Bo Sup	Feces of mice	day8	P. copri+Bo Sup_day8
D8-PB5-2	P. copri+Bo Sup	Feces of mice	day8	P. copri+Bo Sup_day8
PC-RCM1-0H	Pc	Cultured supernatant 	0H	PC_0H
PC-RCM2-0H	Pc	Cultured supernatant 	0H	PC_0H
PC-RCM3-0H	Pc	Cultured supernatant 	0H	PC_0H
PC-Bosup-1-0H	Pc+Bo sup	Cultured supernatant 	0H	PC+Bo sup_0H
PC-Bosup-2-0H	Pc+Bo sup	Cultured supernatant 	0H	PC+Bo sup_0H
PC-Bosup-3-0H	Pc+Bo sup	Cultured supernatant 	0H	PC+Bo sup_0H
PC-Bvsup-1-0H	Pc+Bv sup	Cultured supernatant 	0H	PC+Bv sup_0H
PC-Bvsup-2-0H	Pc+Bv sup	Cultured supernatant 	0H	PC+Bv sup_0H
PC-Bvsup-3-0H	Pc+Bv sup	Cultured supernatant 	0H	PC+Bv sup_0H
PC-Pcsup-1-0H	Pc+Pc sup	Cultured supernatant 	0H	PC+Pc sup_0H
PC-Pcsup-2-0H	Pc+Pc sup	Cultured supernatant 	0H	PC+Pc sup_0H
PC-Pcsup-3-0H	Pc+Pc sup	Cultured supernatant 	0H	PC+Pc sup_0H
PC-RCM1-6H	Pc	Cultured supernatant 	6H	PC_6H
PC-RCM2-6H	Pc	Cultured supernatant 	6H	PC_6H
PC-RCM3-6H	Pc	Cultured supernatant 	6H	PC_6H
PC-Bosup-1-6H	Pc+Bo sup	Cultured supernatant 	6H	PC+Bo sup_6H
PC-Bosup-2-6H	Pc+Bo sup	Cultured supernatant 	6H	PC+Bo sup_6H
PC-Bosup-3-6H	Pc+Bo sup	Cultured supernatant 	6H	PC+Bo sup_6H
PC-Bvsup-1-6H	Pc+Bv sup	Cultured supernatant 	6H	PC+Bv sup_6H
PC-Bvsup-2-6H	Pc+Bv sup	Cultured supernatant 	6H	PC+Bv sup_6H
PC-Bvsup-3-6H	Pc+Bv sup	Cultured supernatant 	6H	PC+Bv sup_6H
PC-Pcsup-1-6H	Pc+Pc sup	Cultured supernatant 	6H	PC+Pc sup_6H
PC-Pcsup-2-6H	Pc+Pc sup	Cultured supernatant 	6H	PC+Pc sup_6H
PC-Pcsup-3-6H	Pc+Pc sup	Cultured supernatant 	6H	PC+Pc sup_6H
PC-RCM1-12H	Pc	Cultured supernatant 	12H	PC_12H
PC-RCM2-12H	Pc	Cultured supernatant 	12H	PC_12H
PC-RCM3-12H	Pc	Cultured supernatant 	12H	PC_12H
PC-Bosup-1-12H	Pc+Bo sup	Cultured supernatant 	12H	PC+Bo sup_12H
PC-Bosup-2-12H	Pc+Bo sup	Cultured supernatant 	12H	PC+Bo sup_12H
PC-Bosup-3-12H	Pc+Bo sup	Cultured supernatant 	12H	PC+Bo sup_12H
PC-Bvsup-1-12H	Pc+Bv sup	Cultured supernatant 	12H	PC+Bv sup_12H
PC-Bvsup-2-12H	Pc+Bv sup	Cultured supernatant 	12H	PC+Bv sup_12H
PC-Bvsup-3-12H	Pc+Bv sup	Cultured supernatant 	12H	PC+Bv sup_12H
PC-Pcsup-1-12H	Pc+Pc sup	Cultured supernatant 	12H	PC+Pc sup_12H
PC-Pcsup-2-12H	Pc+Pc sup	Cultured supernatant 	12H	PC+Pc sup_12H
PC-Pcsup-3-12H	Pc+Pc sup	Cultured supernatant 	12H	PC+Pc sup_12H
PC-RCM1-24H	Pc	Cultured supernatant 	24H	PC_24H
PC-RCM2-24H	Pc	Cultured supernatant 	24H	PC_24H
PC-RCM3-24H	Pc	Cultured supernatant 	24H	PC_24H
PC-Bosup-1-24H	Pc+Bo sup	Cultured supernatant 	24H	PC+Bo sup_24H
PC-Bosup-2-24H	Pc+Bo sup	Cultured supernatant 	24H	PC+Bo sup_24H
PC-Bosup-3-24H	Pc+Bo sup	Cultured supernatant 	24H	PC+Bo sup_24H
PC-Bvsup-1-24H	Pc+Bv sup	Cultured supernatant 	24H	PC+Bv sup_24H
PC-Bvsup-2-24H	Pc+Bv sup	Cultured supernatant 	24H	PC+Bv sup_24H
PC-Bvsup-3-24H	Pc+Bv sup	Cultured supernatant 	24H	PC+Bv sup_24H
PC-Pcsup-1-24H	Pc+Pc sup	Cultured supernatant 	24H	PC+Pc sup_24H
PC-Pcsup-2-24H	Pc+Pc sup	Cultured supernatant 	24H	PC+Pc sup_24H
PC-Pcsup-3-24H	Pc+Pc sup	Cultured supernatant 	24H	PC+Pc sup_24H
PC-RCM1-48H	Pc	Cultured supernatant 	48H	PC_48H
PC-RCM2-48H	Pc	Cultured supernatant 	48H	PC_48H
PC-RCM3-48H	Pc	Cultured supernatant 	48H	PC_48H
PC-Bosup-1-48H	Pc+Bo sup	Cultured supernatant 	48H	PC+Bo sup_48H
PC-Bosup-2-48H	Pc+Bo sup	Cultured supernatant 	48H	PC+Bo sup_48H
PC-Bosup-3-48H	Pc+Bo sup	Cultured supernatant 	48H	PC+Bo sup_48H
PC-Bvsup-1-48H	Pc+Bv sup	Cultured supernatant 	48H	PC+Bv sup_48H
PC-Bvsup-2-48H	Pc+Bv sup	Cultured supernatant 	48H	PC+Bv sup_48H
PC-Bvsup-3-48H	Pc+Bv sup	Cultured supernatant 	48H	PC+Bv sup_48H
PC-Pcsup-1-48H	Pc+Pc sup	Cultured supernatant 	48H	PC+Pc sup_48H
PC-Pcsup-2-48H	Pc+Pc sup	Cultured supernatant 	48H	PC+Pc sup_48H
PC-Pcsup-3-48H	Pc+Pc sup	Cultured supernatant 	48H	PC+Pc sup_48H
