species	SeqCRZa_100	SeqCRZa_101	SeqCRZa_102	SeqCRZa_103	SeqCRZa_104	SeqCRZa_105	SeqCRZa_106	SeqCRZa_107	SeqCRZa_108	SeqCRZa_10	SeqCRZa_11	SeqCRZa_12	SeqCRZa_13	SeqCRZa_14	SeqCRZa_15	SeqCRZa_16	SeqCRZa_17	SeqCRZa_18	SeqCRZa_19	SeqCRZa_1	SeqCRZa_20	SeqCRZa_21	SeqCRZa_22	SeqCRZa_23	SeqCRZa_24	SeqCRZa_25	SeqCRZa_26	SeqCRZa_27	SeqCRZa_28	SeqCRZa_29	SeqCRZa_2	SeqCRZa_30	SeqCRZa_31	SeqCRZa_32	SeqCRZa_33	SeqCRZa_34	SeqCRZa_35	SeqCRZa_36	SeqCRZa_37	SeqCRZa_38	SeqCRZa_39	SeqCRZa_3	SeqCRZa_40	SeqCRZa_41	SeqCRZa_42	SeqCRZa_43	SeqCRZa_44	SeqCRZa_45	SeqCRZa_46	SeqCRZa_47	SeqCRZa_48	SeqCRZa_49	SeqCRZa_4	SeqCRZa_50	SeqCRZa_51	SeqCRZa_52	SeqCRZa_53	SeqCRZa_54	SeqCRZa_55	SeqCRZa_56	SeqCRZa_57	SeqCRZa_58	SeqCRZa_59	SeqCRZa_5	SeqCRZa_60	SeqCRZa_61	SeqCRZa_62	SeqCRZa_63	SeqCRZa_64	SeqCRZa_65	SeqCRZa_66	SeqCRZa_67	SeqCRZa_68	SeqCRZa_69	SeqCRZa_6	SeqCRZa_70	SeqCRZa_71	SeqCRZa_72	SeqCRZa_73	SeqCRZa_74	SeqCRZa_75	SeqCRZa_76	SeqCRZa_77	SeqCRZa_78	SeqCRZa_79	SeqCRZa_7	SeqCRZa_80	SeqCRZa_81	SeqCRZa_82	SeqCRZa_83	SeqCRZa_84	SeqCRZa_85	SeqCRZa_86	SeqCRZa_87	SeqCRZa_88	SeqCRZa_8	SeqCRZa_90	SeqCRZa_91	SeqCRZa_92	SeqCRZa_93	SeqCRZa_94	SeqCRZa_95	SeqCRZa_96	SeqCRZa_97	SeqCRZa_98	SeqCRZa_99	SeqCRZa_9
Methanobrevibacter_smithii	0	0	0	0	0	0	0	0	0	0.10038	2.89865	0	0.07566	0	0.03072	0	0	0	0.08922	0.00855	0	0.56683	0	0.35183	3.09208	0.00472	0	0	0	0.15156	0.17909	0	0.0098	0	0.22813	0.2108	0	0.60512	0	0.51942	0	0.25169	0.98096	1.52057	0	0.29084	2.78764	0	0	5.41514	0	0	0.05697	0	0	0.19729	1.33748	0.08957	2.58492	1.24821	0.22308	0.5045	0	0.91234	0	0.24311	0.75261	10.6179	1.26237	0.47716	1.15793	0	0	0.28321	0	0.69841	1.18947	1.14133	0	0	0.51117	0.37488	3.24552	0.15254	0	0	1.05044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38366
Methanobrevibacter_unclassified	0	0	0	0	0	0	0	0	0	0	0	0.04928	0.0283	0	0.0083	0	0	0	0	0	0	0.00596	0	0	0	0.00974	0	0	0	0	0	0	0.00435	0	0	0	0	0	0	0	0.10003	0	0	0	0	0	0	0	0	0	0	0	0.01918	0	0	0.06745	0	0	0	0	0	0.30248	0	0.06382	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29635	0	0.2309	0	0	0	0.00063	0	0	0	0.2319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanosphaera_stadtmanae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03057	0	0	0	0	0	0	0.00408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_graevenitzii	0	0	0.00073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00217	0	0	0	0	0	0	0	0	0	0	0.01565	0	0	0.0021	0	0	0.00378	0	0.00084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00559	0	0	0	0	0	0.00261	0	0	0	0	0	0	0	0	0.0068	0.00191	0	0	0	0.03631	0	0.00323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_johnsonii	0	0	0.00255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_turicensis	0	0	0	0	0	0	0.04916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobiluncus_curtisii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobiluncus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112	0	0	0	0	0	0	0	0	0
Varibaculum_cambriense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tropheryma_whipplei	0	0	0	0	0	0	0	0	0	0	0.01875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
