sampleID	Group	Time	ct-1	ct-2	ct-3	ct-Mean	ct-sd	copies	species
PC1	P.copri	0	20.03	20.15	20.45	20.21	0.22	2.84	P.copri
PC2	P.copri	0	20.78	21.01	21.42	21.07	0.32	2.73	P.copri
PC3	P.copri	0	21.58	21.33	21.78	21.56	0.23	2.66	P.copri
PC4	P.copri	0	21.39	20.72	21.05	21.05	0.34	2.73	P.copri
PC5	P.copri	0	19.94	20.15	20.22	20.1	0.15	2.86	P.copri
PC6	P.copri	0	20.02	20.17	20.77	20.32	0.4	2.83	P.copri
Pc+Bo1	P.copri+B.ovatus	0	21.61	21.26	21.33	21.4	0.19	2.68	P.copri
Pc+Bo2	P.copri+B.ovatus	0	21.55	21.66	21.77	21.66	0.11	2.65	P.copri
Pc+Bo3	P.copri+B.ovatus	0	21.22	21.97	21.95	21.71	0.43	2.64	P.copri
Pc+Bo4	P.copri+B.ovatus	0	21.65	21.89	22.33	21.96	0.34	2.62	P.copri
Pc+Bo5	P.copri+B.ovatus	0	19.18	21.64	19.49	20.1	1.34	2.86	P.copri
Pc+Bo6	P.copri+B.ovatus	0	19.11	19.79	19.49	19.46	0.34	2.95	P.copri
PC1	P.copri	6	18.86	19.48	19.34	19.23	0.33	2.99	P.copri
PC2	P.copri	6	21.11	21.52	21.23	21.29	0.21	2.7	P.copri
PC3	P.copri	6	19.67	20.28	20.34	20.1	0.37	2.86	P.copri
PC4	P.copri	6	19.41	19.57	20.46	19.81	0.57	2.9	P.copri
PC5	P.copri	6	20.96	21.63	21.02	21.2	0.37	2.71	P.copri
PC6	P.copri	6	21.57	21.19	20.64	21.13	0.47	2.72	P.copri
Pc+Bo1	P.copri+B.ovatus	6	20.57	20.79	20.96	20.77	0.2	2.76	P.copri
Pc+Bo2	P.copri+B.ovatus	6	19.81	19.98	20.91	20.23	0.59	2.84	P.copri
Pc+Bo3	P.copri+B.ovatus	6	21.19	21.55	21.63	21.46	0.23	2.68	P.copri
Pc+Bo4	P.copri+B.ovatus	6	19.87	19.76	19.83	19.82	0.06	2.9	P.copri
Pc+Bo5	P.copri+B.ovatus	6	20.64	20.8	21.02	20.82	0.19	2.76	P.copri
Pc+Bo6	P.copri+B.ovatus	6	20.6	20.72	20.92	20.75	0.16	2.77	P.copri
PC1	P.copri	12	18.68	19.01	18.87	18.85	0.17	3.05	P.copri
PC2	P.copri	12	18.98	19.56	19.72	19.42	0.39	2.96	P.copri
PC3	P.copri	12	18.36	18.65	18.71	18.57	0.19	3.09	P.copri
PC4	P.copri	12	22.27	22.79	22.69	22.58	0.28	2.54	P.copri
PC5	P.copri	12	21.53	21.69	21.18	21.47	0.26	2.68	P.copri
PC6	P.copri	12	19.24	19.8	20.05	19.7	0.41	2.92	P.copri
Pc+Bo1	P.copri+B.ovatus	12		20.63	20.72	20.68	0.06	2.78	P.copri
Pc+Bo2	P.copri+B.ovatus	12	19.28	19.4	19.23	19.3	0.09	2.97	P.copri
Pc+Bo3	P.copri+B.ovatus	12	18.96	18.54	18.55	18.68	0.24	3.07	P.copri
Pc+Bo4	P.copri+B.ovatus	12	20.21	21.07	20.06	20.45	0.55	2.81	P.copri
Pc+Bo5	P.copri+B.ovatus	12	20.03	19.84	19.82	19.9	0.12	2.89	P.copri
Pc+Bo6	P.copri+B.ovatus	12	20.71	21.17	20.62	20.83	0.3	2.76	P.copri
PC1	P.copri	24	18.71	18.69	18.63	18.68	0.04	3.07	P.copri
PC2	P.copri	24	18.2	17.3	17.25	17.58	0.53	3.27	P.copri
PC3	P.copri	24	16.87		16.64	16.76	0.16	3.43	P.copri
PC4	P.copri	24	17.26	17.89	17.98	17.71	0.39	3.24	P.copri
PC5	P.copri	24	17.45	17.5	17.49	17.48	0.03	3.29	P.copri
PC6	P.copri	24	17.14	16.73		16.94	0.29	3.39	P.copri
Pc+Bo1	P.copri+B.ovatus	24	19.33	18.82	18.9	19.02	0.27	3.02	P.copri
Pc+Bo2	P.copri+B.ovatus	24		18.32	17.62	17.97	0.49	3.2	P.copri
Pc+Bo3	P.copri+B.ovatus	24	19.55	19.34	19.09	19.33	0.23	2.97	P.copri
Pc+Bo4	P.copri+B.ovatus	24	19.49	19.24	19.23	19.32	0.15	2.97	P.copri
Pc+Bo5	P.copri+B.ovatus	24	19.12	18.87	19.07	19.02	0.13	3.02	P.copri
Pc+Bo6	P.copri+B.ovatus	24	19.24	18.94	19.04	19.07	0.15	3.01	P.copri
PC1	P.copri	36	17.24	17.3	17.4	17.31	0.08	3.32	P.copri
PC2	P.copri	36	16.79	16.69	16.71	16.73	0.05	3.43	P.copri
PC3	P.copri	36	16.18	15.92	16.1	16.07	0.13	3.57	P.copri
PC4	P.copri	36	16.74	17.09	17.15	16.99	0.22	3.38	P.copri
