plate.id,substrates,Class,Time.h,Species,OD590
A1,Water,Water,0,P.copri,0.316
B1,Methyl pyruvate,Carboxylic acids,0,P.copri,0.344
C1,Tween 40,Polymers,0,P.copri,0.285
D1,Tween 80,Polymers,0,P.copri,0.347
E1,Alpha-Cyclodextrin,Polymers,0,P.copri,0.313
F1,Glycogen,Polymers,0,P.copri,0.313
G1,D-Cellobiose,Carbohydrates,0,P.copri,0.318
H1,Alpha-D-Lactose,Carbohydrates,0,P.copri,0.31
A2,Beta-Methyl-D-Glucoside,Carbohydrates,0,P.copri,0.308
B2,D-Xylose,Carbohydrates,0,P.copri,0.313
C2,I-Erythritol,Carbohydrates,0,P.copri,0.305
D2,D-Mannitol,Carbohydrates,0,P.copri,0.311
E2,N-Acetyl-D-glucosamine,Carbohydrates,0,P.copri,0.315
F2,D-Glucosaminic acid,Carboxylic acids,0,P.copri,0.313
G2,Glucose-1-Phosphate,Carbohydrates,0,P.copri,0.318
H2,Alpha-Glycerol-Phosphate,Carbohydrates,0,P.copri,0.302
A3,D-Galactoic acid-gamma-lactone,Carbohydrates,0,P.copri,0.306
B3,D-Galacturonic acid,Carboxylic acids,0,P.copri,0.307
C3,2-Hydroxybenzoic Acid,Phenolic acids,0,P.copri,0.311
D3,4-Hydroxybenzoic acid,Phenolic acids,0,P.copri,0.321
E3,gamma-Hydroxy-Butyric Acid,Carboxylic acids,0,P.copri,0.32
F3,Itaconic acid,Carboxylic acids,0,P.copri,0.357
G3,Alpha-Ketobutyric acid,Carboxylic acids,0,P.copri,0.336
H3,D-Malic acid,Carboxylic acids,0,P.copri,0.33
A4,L-Arginine,Amino acids,0,P.copri,0.307
B4,L-Asparagine,Amino acids,0,P.copri,0.318
C4,L-Phenylalanine,Amino acids,0,P.copri,0.32
D4,L-Serine,Amino acids,0,P.copri,0.324
E4,L-Threonine,Amino acids,0,P.copri,0.323
F4,Glycyl-L-glutamic Acid,Amino acids,0,P.copri,0.313
G4,Phenethylamine,Amines,0,P.copri,0.319
H4,Putrescine,Amines,0,P.copri,0.33
A5,Water,Water,0,P.copri,0.306
B5,Methyl pyruvate,Carboxylic acids,0,P.copri,0.323
C5,Tween 40,Polymers,0,P.copri,0.299
D5,Tween 80,Polymers,0,P.copri,0.306
E5,Alpha-Cyclodextrin,Polymers,0,P.copri,0.32
F5,Glycogen,Polymers,0,P.copri,0.313
G5,D-Cellobiose,Carbohydrates,0,P.copri,0.318
H5,Alpha-D-Lactose,Carbohydrates,0,P.copri,0.3141
A6,Beta-Methyl-D-Glucoside,Carbohydrates,0,P.copri,0.315
B6,D-Xylose,Carbohydrates,0,P.copri,0.316
C6,I-Erythritol,Carbohydrates,0,P.copri,0.307
D6,D-Mannitol,Carbohydrates,0,P.copri,0.321
E6,N-Acetyl-D-glucosamine,Carbohydrates,0,P.copri,0.316
F6,D-Glucosaminic acid,Carboxylic acids,0,P.copri,0.311
G6,Glucose-1-Phosphate,Carbohydrates,0,P.copri,0.307
H6,Alpha-Glycerol-Phosphate,Carbohydrates,0,P.copri,0.307
A7,D-Galactoic acid-gamma-lactone,Carbohydrates,0,P.copri,0.319
B7,D-Galacturonic acid,Carboxylic acids,0,P.copri,0.314
C7,2-Hydroxybenzoic Acid,Phenolic acids,0,P.copri,0.309
D7,4-Hydroxybenzoic acid,Phenolic acids,0,P.copri,0.322
E7,gamma-Hydroxy-Butyric Acid,Carboxylic acids,0,P.copri,0.317
F7,Itaconic acid,Carboxylic acids,0,P.copri,0.313
G7,Alpha-Ketobutyric acid,Carboxylic acids,0,P.copri,0.316
H7,D-Malic acid,Carboxylic acids,0,P.copri,0.312
A8,L-Arginine,Amino acids,0,P.copri,0.303
B8,L-Asparagine,Amino acids,0,P.copri,0.305
C8,L-Phenylalanine,Amino acids,0,P.copri,0.309
D8,L-Serine,Amino acids,0,P.copri,0.313
E8,L-Threonine,Amino acids,0,P.copri,0.312
F8,Glycyl-L-glutamic Acid,Amino acids,0,P.copri,0.313
G8,Phenethylamine,Amines,0,P.copri,0.313
H8,Putrescine,Amines,0,P.copri,0.315
A9,Water,Water,0,P.copri,0.326
B9,Methyl pyruvate,Carboxylic acids,0,P.copri,0.341
C9,Tween 40,Polymers,0,P.copri,0.309
D9,Tween 80,Polymers,0,P.copri,0.316
E9,Alpha-Cyclodextrin,Polymers,0,P.copri,0.316
F9,Glycogen,Polymers,0,P.copri,0.319
