,Group,OD600,Incubation time,facet
Pc+Pc Sup1,Pc+Pc Sup,0.08,0,4
Pc+Pc Sup2,Pc+Pc Sup,0.084,0,4
Pc+Pc Sup3,Pc+Pc Sup,0.082,0,4
Pc+Pc Sup4,Pc+Pc Sup,0.0804,0,4
Pc+Pc Sup5,Pc+Pc Sup,0.089,0,4
Pc+Pc Sup6,Pc+Pc Sup,0.078,0,4
RCM+Pc Sup1,RCM+Pc Sup,0.063,0,4
RCM+Pc Sup2,RCM+Pc Sup,0.063,0,4
RCM+Pc Sup3,RCM+Pc Sup,0.074,0,4
Pc+Bo Sup1,Pc+Bo Sup,0.086,0,2
Pc+Bo Sup2,Pc+Bo Sup,0.085,0,2
Pc+Bo Sup3,Pc+Bo Sup,0.082,0,2
Pc+Bo Sup4,Pc+Bo Sup,0.084,0,2
Pc+Bo Sup5,Pc+Bo Sup,0.092,0,2
Pc+Bo Sup6,Pc+Bo Sup,0.086,0,2
RCM+Bo Sup1,RCM+Bo Sup,0.06,0,2
RCM+Bo Sup2,RCM+Bo Sup,0.065,0,2
RCM+Bo Sup3,RCM+Bo Sup,0.074,0,2
Pc+Bv Sup1,Pc+Bv Sup,0.092,0,2
Pc+Bv Sup2,Pc+Bv Sup,0.081,0,2
Pc+Bv Sup3,Pc+Bv Sup,0.081,0,2
Pc+Bv Sup4,Pc+Bv Sup,0.081,0,2
Pc+Bv Sup5,Pc+Bv Sup,0.088,0,2
Pc+Bv Sup6,Pc+Bv Sup,0.089,0,2
RCM+Bv Sup1,RCM+Bv Sup,0.068,0,2
RCM+Bv Sup2,RCM+Bv Sup,0.065,0,2
RCM+Bv Sup3,RCM+Bv Sup,0.071,0,2
Pc+Bp Sup1,Pc+Bp Sup,0.08,0,3
Pc+Bp Sup2,Pc+Bp Sup,0.0809,0,3
Pc+Bp Sup3,Pc+Bp Sup,0.0806,0,3
Pc+Bp Sup4,Pc+Bp Sup,0.087,0,3
Pc+Bp Sup5,Pc+Bp Sup,0.08,0,3
Pc+Bp Sup6,Pc+Bp Sup,0.082,0,3
RCM+Bp Sup1,RCM+Bp Sup,0.063,0,3
RCM+Bp Sup2,RCM+Bp Sup,0.062,0,3
RCM+Bp Sup3,RCM+Bp Sup,0.069,0,3
Pc+Ls Sup1,Pc+Ls Sup,0.081,0,3
Pc+Ls Sup2,Pc+Ls Sup,0.087,0,3
Pc+Ls Sup3,Pc+Ls Sup,0.082,0,3
Pc+Ls Sup4,Pc+Ls Sup,0.081,0,3
Pc+Ls Sup5,Pc+Ls Sup,0.08,0,3
Pc+Ls Sup6,Pc+Ls Sup,0.082,0,3
RCM+Ls Sup1,RCM+Ls Sup,0.063,0,3
RCM+Ls Sup2,RCM+Ls Sup,0.062,0,3
RCM+Ls Sup3,RCM+Ls Sup,0.072,0,3
Pc+Po Sup1,Pc+Po Sup,0.081,0,4
Pc+Po Sup2,Pc+Po Sup,0.085,0,4
Pc+Po Sup3,Pc+Po Sup,0.084,0,4
Pc+Po Sup4,Pc+Po Sup,0.081,0,4
Pc+Po Sup5,Pc+Po Sup,0.078,0,4
Pc+Po Sup6,Pc+Po Sup,0.086,0,4
RCM+Po Sup1,RCM+Po Sup,0.059,0,4
RCM+Po Sup2,RCM+Po Sup,0.06,0,4
RCM+Po Sup3,RCM+Po Sup,0.071,0,4
Pc+RCM1,Pc,0.08,0,1
Pc+RCM2,Pc,0.083,0,1
Pc+RCM3,Pc,0.089,0,1
Pc+RCM4,Pc,0.0812,0,1
