,Group,Species,Species1,OD600,Incubation time,Date,PCS
PO,P.oralis,P.oralis,Prevotella oralis,0.064,0,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.068,0,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.06,0,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.07,0,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.065,0,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.068,0,2022/1/1,No
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.073,0,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.064,0,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.068,0,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.078,0,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.07,0,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.069,0,2022/1/1,Yes
PO,P.oralis,P.oralis,Prevotella oralis,0.062,6,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.065,6,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.065,6,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.059,6,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.063,6,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.056,6,2022/1/1,No
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.061,6,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.057,6,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.062,6,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.064,6,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.063,6,2022/1/1,Yes
PO+PCS,P.oralis+P.copri sup,P.oralis,Prevotella oralis,0.065,6,2022/1/1,Yes
PO,P.oralis,P.oralis,Prevotella oralis,0.068,12,2022/1/1,No
PO,P.oralis,P.oralis,Prevotella oralis,0.072,12,2022/1/1,No
