ID,Abiotrophia,Acetobacter,Acholeplasma,Achromobacter,Acidaminococcus,Acidibacter,Acidobacteria,Acinetobacter,Actinobacillus,Actinomyces,Actinomycetospora,Adlercreutzia,ADurb.Bin063-1,Aerococcus,Aeromonas,Agathobacter,Aggregatibacter,Akkermansia,Alicycliphilus,Aliicoccus,Alishewanella,Alistipes,Alkanindiges,Allisonella,Alloprevotella,Alteromonas,Alysiella,Anaerococcus,Anaeroglobus,Anaeromyxobacter,Anaerostipes,Anaerotruncus,Anaerovibrio,Angelakisella,Anoxybacillus,ANPRhizobium,Aquabacterium,Aquicella,Asteroleplasma,Atopobium,Aureimonas,Bacillus,Bacteroidales,Bacteroides,Bacteroidia,Barnesiella,Bartonella,Bdellovibrio,Bergeyella,Bifidobacterium,Bilophila,Blastocatella,Blastococcus,Blastomonas,Blautia,Blvii28,Bombella,Bosea,Brachybacterium,Bradyrhizobium,Brevibacterium,Brevundimonas,Bryobacter,Bulleidia,Burkholderia-Caballeronia-Paraburkholderia,Butyricicoccus,Butyricimonas,Butyrivibrio,CAG-352,CAG-56,CAG-873,Campylobacter,candidate,Candidatus,Capnocytophaga,Caproiciproducens,Cardiobacterium,Carnimonas,Catabacter,Catenibacterium,Catonella,Caulobacter,Cetobacterium,Chloroflexi,Christensenella,Christensenellaceae,Chroococcidiopsis,Chryseobacterium,Chthoniobacter,CL500-29,Cloacibacillus,Cloacibacterium,Clostridiales,Clostridium,Cnuella,Collinsella,Comamonas,Commensalibacter,Conchiformibius,Coprobacillus,Coprobacter,Coprococcus,Corynebacterium,Craurococcus,Criibacterium,Cupriavidus,Curvibacter,Cutibacterium,Defluviitaleaceae,Deinococcus,Delftia,delta,Dermabacter,Dermacoccus,Desulfomicrobium,Desulfovibrio,Devosia,Dialister,Dielma,Dietzia,Dolosigranulum,Dongia,Dorea,DTU089,Dyella,Eggerthella,Eikenella,Eisenbergiella,Ellin6055,Ellin6067,Elusimicrobium,Enhydrobacter,Ensifer,Enterococcus,Enterorhabdus,Eremococcus,Erysipelatoclostridium,Erysipelotrichaceae,Escherichia-Shigella,eubacterium,Eubacterium,Exiguobacterium,Ezakiella,F0058,F0332,Facklamia,Faecalibacterium,Faecalitalea,Fastidiosipila,Faucicola,Ferrovum,Filifactor,Filobacterium,Finegoldia,Firmicutes,Flavisolibacter,Flavobacterium,Flavonifractor,Fournierella,Fretibacterium,Frischella,Fructobacillus,Fusicatenibacter,Fusobacterium,Gaiella,Gallicola,Gardnerella,GCA-900066225,GCA-900066575,Gemella,Gemmata,Gemmatimonas,Gemmatirosa,Geobacter,Gilliamella,Glutamicibacter,GOUTA6,Gracilibacteria,Granulicatella,Haemophilus,Haliangium,Halomonas,Helcococcus,Herbaspirillum,hgcI,Holdemanella,Holdemania,Howardella,Hungatella,Hydrogenoanaerobacterium,Hydrogenophaga,Hymenobacter,Hyphomicrobium,Ignavigranum,Intestinibacter,Intestinimonas,Jeotgalicoccus,JGI,Johnsonella,Jonquetella,Kingella,Kocuria,Kytococcus,Lachnoanaerobaculum,Lachnoclostridium,Lachnospira,Lachnospiraceae,Lactobacillus,Lactococcus,Larkinella,Lautropia,Lawsonella,Leptotrichia,Leuconostoc,Libanicoccus,Luteimonas,Luteolibacter,Lysobacter,Mailhella,Marvinbryantia,Massilia,Megamonas,Megasphaera,Mesorhizobium,metagenome,Methylobacterium,Methylotenera,Methyloversatilis,Microbacterium,Micrococcus,Microvirga,Mitsuokella,MND1,Mobiluncus,Mogibacterium,Moraxella,Moryella,Mucilaginibacter,Murdochiella,Mycobacterium,Mycoplasma,Negativibacillus,Negativicoccus,Neisseria,Nesterenkonia,Nitrospira,Nocardioides,Nosocomiicoccus,Novosphingobium,Oceanivirga,Ochrobactrum,Odoribacter,Olsenella,organism,Oribacterium,Oscillibacter,Oxalicibacterium,Oxalobacter,Paenibacillus,Pajaroellobacter,Pantoea,Parabacteroides,Paracoccus,Paraprevotella,Parasutterella,Parvimonas,Pedobacter,Peptoanaerobacter,Peptococcus,Peptoniphilus,Peptostreptococcus,Peredibacter,Phascolarctobacterium,Pirellula,planctomycete,Porphyromonadaceae,Porphyromonas,Prevotella,Prevotellaceae,Proteus,Providencia,Pseudoalteromonas,Pseudoduganella,Pseudogulbenkiania,Pseudolabrys,Pseudomonas,Pseudonocardia,Pseudoxanthomonas,Pyramidobacter,Qipengyuania,Ralstonia,Ramlibacter,RB41,Reyranella,Rheinheimera,Rhodococcus,Rikenellaceae,Romboutsia,Roseburia,Roseomonas,Rothia,Rubellimicrobium,Rubrobacter,rumen,Ruminiclostridium,Ruminococcaceae,Ruminococcus,S5-A14a,Salinicoccus,Sanguibacteroides,Schlegelella,Selenomonas,Sellimonas,Senegalimassilia,Serratia,Shewanella,Shuttleworthia,Simonsiella,Singulisphaera,Slackia,Sneathia,Snodgrassella,soil,Solirubrobacter,Solobacterium,Sphingobacterium,Sphingobium,Sphingomonas,SR1,Staphylococcus,Stenotrophomonas,Stomatobaculum,Streptobacillus,Streptococcus,Streptomyces,Subdoligranulum,Succinivibrio,Sutterella,Suttonella,SWB02,Tannerella,Terrisporobacter,Thermoanaerobacterales,TM7,Treponema,Turicibacter,Tyzzerella,UBA1819,Varibaculum,Veillonella,Vibrio,Victivallis,W5053,Weissella,Zoogloea,ZOR0006
FCF191901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,1.92,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,12.65,0,0,0,0,0,1.5,0.12,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0.28,0,0,0,0.07,0,0,0,0,0,0,0,0,0.06,0,0,0.35,0,0,0,0,0,0,0,0.07,0,0.04,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0.83,0,0,0,0,0.08,0,0,0,0,0,0.02,0,0,0,0.45,0.22,0,3.48,0,0,0,0,0,39.31,0.03,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1.82,1.3,1.46,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.22,0,0,0.05,0,0,0,0,0,0,0,4.02,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,3.82,0,0,0,0,0,0.78,1.65,8.19,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,2.56,0,0,0,0,0,0,0,0,0,0,0.18,0.11,0,0.03,0,0,0,0,0,0
FCF191902,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.07,0.91,0,18.7,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0,1.05,0.05,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0.27,0.05,0,0,0.46,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0.02,0,0.09,0,0,0,0.11,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,1.52,0.17,0,0.87,0,0,0,0,0,39.41,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0.59,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.55,0.12,0.45,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0.41,0.57,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,2.82,0,0,0,0,0,0,0,0,0,0,0.09,0.19,0,0.06,0,0,0,0,0,0
FCF191903,0,0,0,0,0.050020008,0,0,0,0,0,0,0.130052021,0,0,0,2.140856343,0,0.390156062,0,0,0,2.621048419,0,0,0,0,0,0,0,0,0.75030012,0,0,0,0,0,0,0,0,0,0,0,0,9.723889556,0,0,0,0,0,9.893957583,0.030012005,0,0,0,4.421768707,0,0,0,0,0,0,0,0,0,0,0.56022409,0,0,0,0.120048019,0,0,0,0.080032013,0,0,0,0,0,0,0,0,0.010004002,0,0.080032013,2.871148459,0,0,0,0,0,0,0,0.180072029,0,0,0,0,0,0,0,0.130052021,0,0,0,0,0,0,0.150060024,0,0,0,0,0,0,0,0,2.280912365,0,0,0,0,0.700280112,0.300120048,0,0.040016006,0,0,0,0,0,0,0,0,0,0,0.050020008,0.530212085,0.330132053,0,11.21448579,0,0,0,0,0,7.533013205,0.030012005,0,0,0,0,0,0,0,0,0,0.260104042,0,0,0,0,1.270508203,0.070028011,0,0,0,0,0.160064026,0,0,0,0,0,0,0,0,0,0,0.050020008,0,0,0,0,0,0.050020008,0,0,0.150060024,0,0,0,0,0,0.270108043,0.100040016,0,0,0,0,0,0,0,0,0.780312125,0.070028011,4.681872749,0.270108043,0,0,0,0,0,0,0,0,0,0,0,0.070028011,0,0.270108043,0.410164066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150060024,0,0.020008003,0,0,0,0,0,0,0,0.010004002,0.120048019,0,0,0.110044018,0,0,0,0,0,0.470188075,0,0,0.090036014,0,0,0,0,0,0,0,0.220088035,0,0,0,0,0.06002401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260104042,0.900360144,0,0,0,0,0,3.791516607,4.81192477,6.712685074,0,0,0,0,0,0.110044018,0,0,0,0.040016006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56022409,0,13.00520208,0,0.06002401,0,0,0,0,0,0,0,0.070028011,0.350140056,0.210084034,0,0,0,0,0,0,0,0.030012005
FCF191904,0,0,0,0,0.94,0,0,0,0,0,0,0.06,0,0,0.02,1.79,0,0.48,0,0,0,1.61,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,8.19,0.3,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.04,0,0.07,0.82,0,0,0,0,0.08,0,0,0.1,0,0.69,0,0,0,0,0,0.38,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.23,0,5.05,0,0,0,0,0.83,0.21,0,0,0,0.1,0,0,0,0,0,0,0,0,0.05,0.11,0.98,0,11.71,0,0,0,0,0,8.89,0.03,0,0,0,0,0,0,0,0,0,0.18,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.03,0.02,0,0.27,0,0,0,0,0,0.22,0.01,0,0,0,0,0,0,0,0,0.63,0.07,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.7,0,0.01,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.16,0,0.03,0,0,0,0,0,0,0,0.02,0.03,0,0,0.2,0,0.07,0,0,0,1.98,0,0,0.03,0,0,0,0,0,0,0,0.3,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.76,0,0,0,0,0,0.94,7.85,4.08,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,13.22,0,0,0,0,0,0,0,0,0,0,0.32,0.31,0,0.06,0.04,0,0,0,0,0.02
FCF191905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040036032,0.600540486,0,0.020018016,0,0,0,0.310279251,0,1.8516665,0.020018016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74507056,0,0,0,0,0,40.78670804,0.390351316,0,0,0,2.141927735,0,0,0,0,0,0,0,0,0,0,0.080072065,0.010009008,0,0,0.040036032,0,0,0,0.050045041,0,0,0,0,0,0,0,0,0.030027024,0,0,0.060054049,0,0,0,0,0,0,0,0.240216195,0,0,0,0,0,0,0,0.960864778,0.020018016,0,0,0,0,0,0,0,0,0,0,0,0,0.040036032,0,0.310279251,0,0,0,0,0.270243219,0,0,0.050045041,0,0,0,0,0,0,0,0,0,0,0.050045041,0.080072065,2.64237814,0,1.32118907,0,0,0,0,0,5.23471124,0.110099089,0,0,0.010009008,0,0,0,0,0,0,0.310279251,0,0,0,0,0.780702632,0.010009008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070063057,0,0,0,0,0,0.030027024,0.050045041,0,1.151035932,0,0,0,0,0,0.250225203,0,0,0,0,0,0,0,0,0,2.201981784,0,0.970873786,0.7406666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080072065,0.050045041,0,0.020018016,0,0,0,0,0,0,0,0,0,0,0.010009008,0,0,0,0,0,0.020018016,0,0.010009008,0,0,0,0,0,0,0,0.060054049,0,0,0,0.080072065,0,0,0,0,0,0.410369332,0,0,6.445801221,0,0,0,0,0,0,0,1.401261135,0,0,0,0,0.060054049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090081073,0.320288259,0,0,0,0,0,0.53047743,0.710639576,5.204684216,0,0,0,0,0,0.040036032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.640576519,0,0.470423381,0,0.020018016,0,0,0,0,0,0,0,0.040036032,0.58052247,0.150135122,0,0.050045041,0,0,0,0,0,0
FCF191907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,18.71,0,0,0,0,0,7.02,0.1,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.21,0,0.79,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0.1,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0.06,0.04,1.78,0,1.07,0,0,0,0,0,29.31,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0.19,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0.01,0,0,0.2,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0.66,0.22,0.21,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0.01,0,0,0,0,0,0,0,1.31,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,15.35,0,0,0,0,0,0.28,0.49,6.95,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,3.81,0,0.03,0,0,0,0,0,0,0,0.16,0.37,0,0,0.91,0,0,0,0,0,0
FCF191908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020004001,1.420284057,0,0,0,0,0,0.410082016,0,0.030006001,0,0,0,0,0,0,1.290258052,0.040008002,0,0,0,0,0,0,0,0,0,0,0,20.24404881,0,0,0,0,0,13.53270654,0.630126025,0,0,0,7.171434287,0,0,0,0,0,0,0,0,0,0,0.26005201,0,0,0,0.070014003,0,0,0,0.040008002,0,0,0,0,0.080016003,0,0,0,0.050010002,0,0,0.190038008,0,0,0,0,0.020004001,0,0,0.140028006,0,0.010002,0,0,0,0,0,0.130026005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220044009,0,0.710142028,0,0,0,0,0.220044009,0,0,0.200040008,0,0.26005201,0,0,0,0,0,0,0,0,0.180036007,0.080016003,1.700340068,0,4.530906181,0,0.25005001,0,0,0,4.300860172,0.090018004,0,0,0,0,0,0,0,0,0,0.360072014,0,0,0,0,3.020604121,0.020004001,0,0,0.050010002,0,0,0,0,0,0,0,0,0,0,0,0,0.050010002,0,0,0,0,0,0.010002,0.020004001,0,0.770154031,0,0,0,0,0,0.300060012,0,0,0,0,0,0,0,0,0,1.970394079,0,0.75015003,0.220044009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080016003,0.070014003,0,0,0,0,0,0,0,0,0,0,0.030006001,0.020004001,0.030006001,0,0,0,0,0,0.080016003,0.010002,0,0,0,0,0,0,0,0,0.060012002,0,0,0,0.150030006,0,0,0,0,0,2.220444089,0,0.040008002,0.020004001,0.060012002,0,0,0,0.070014003,0.060012002,0,0.440088018,0,0,0,0.550110022,0.360072014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320064013,0.390078016,0,0,0,0,0,3.130626125,3.360672134,2.310462092,0,0,0,0,0,0.950190038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74094819,0,11.77235447,0,0.210042008,0,0,0,0,0,0,0,0.050010002,1.390278056,0.170034007,0,0,0,0,0,0,0,0
FCF191909,0,0,0,0,0,0,0,0,0,0,0,0.010002,0,0,0,1.280256051,0,0,0,0,0,2.720544109,0,0,0.020004001,0,0,0,0,0,0.610122024,0,0,0,0,0,0,0,0,0,0,0,0,20.15403081,0,0,0,0,0,0.860172034,0.380076015,0,0,0,5.161032206,0,0,0,0,0,0,0,0,0,0,0.280056011,0.150030006,0,0,0,0,0,0,0.020004001,0,0,0,0,0,0,0,0,0.050010002,0,0,2.99059812,0,0,0,0,0,0,0,0.060012002,0,0.060012002,0,0,0,0,0,0.220044009,0,0,0,0,0,0,0,0,0,0,0,0,0,1.400280056,0,0.180036007,0,0,0,0,0.840168034,0.050010002,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50030006,0.390078016,0,4.290858172,0,0.030006001,0,0,0,20.1240248,0,0,0,0,0,0,0,0,0,0,0.050010002,0,0,0,0,1.820364073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030006001,0,0,0,0,0,0,0,0,0.380076015,0,0,0,0,0,0.130026005,0,0,0,0,0,0,0,0,0,0.560112022,0.120024005,3.590718144,0.080016003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150030006,0.210042008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090018004,0,0,0,0,0.110022004,0,0,0,0,0,0,0,0,0,0.040008002,0,0.290058012,0,0.090018004,0,0.100020004,0,0,0,1.660332066,0,0,0.210042008,0,0,0,0,0.010002,0,0,0.670134027,0,0,0,0,0.120024005,0.270054011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210042008,1.860372074,0,0.020004001,0,0,0,0.75015003,7.381476295,9.74194839,0,0,0,0,0,0.040008002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880176035,0,2.690538108,0,0.210042008,0,0,0,0.050010002,0,0,0,0,0.700140028,0.110022004,0,0,0,0,0,0,0,0
FCF191910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.034531078,0,17.55580022,0,0,0,2.111900711,0,0,0,0,0,0,0,0,0.520468422,0,0,0,0,0,0,0,0,0,0,0,0,2.482234011,0,0,0,0,0,4.924431989,0.120108097,0,0,0,4.203783405,0,0,0,0,0,0,0,0,0,0,0.290261235,0.010009008,0,0,0.250225203,0,0,0,0.050045041,0,0,0,0,0.030027024,0,0,0,0,0,0,0.690621559,0,0,0,0,0,0,0,0.050045041,0,0.270243219,0,0,0,0.21018917,0,0.800720649,0.010009008,0,0,0,0,0,0,0,0,0,0,0,0,0.060054049,0,1.90171154,0,0,0,0,1.281153038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020018016,0.520468422,0.230207186,0,4.574116705,0,0,0,0,0,8.337503753,0,0,0,0,0,0,0,0,0,0,0.090081073,0,0,0,0,1.1109999,0,0,0,0,0,0,0.010009008,0,0,0,0,0,0,0,0,0,0.070063057,0,0,0,0,0,0,0.140126114,0,0.250225203,0,0,0,0,0,0.150135122,0,0,0,0,0,0,0,0,0,0.930837754,0.040036032,2.181963767,0.130117105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100090081,0.250225203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040036032,0,0,0,0,0.300270243,0,0.060054049,0,0,0,0,0,0,0,0,0.050045041,0,0,0.060054049,0,0,0,0,0,0.250225203,0,0,0.020018016,0,0,0,0,0,0.010009008,0,0.110099089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320288259,1.080972876,0,0,0,0,0,0.610549495,7.226503853,6.245621059,0,0,0,0,0,0.100090081,0,0,0,0.030027024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220198178,0,15.54398959,0,0,0,0,0,0.090081073,0,0,0,0.090081073,0.410369332,0.150135122,0,0.070063057,0,0,0,0,0,0
FCF191911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54,0,0.06,0,0,0,2.38,0,0,0.03,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,13.15,0,0,0,0,0,2.54,0.09,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0.41,0.24,0,0,0.62,0,0,0,0.13,0,0,0,0,0,0,0,0,0.04,0,0,0.09,0,0,0,0,0,0,0,0.12,0,2.2,0,0,0,0,0,0.47,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.17,0.29,0,3.05,0,0,0,0,0,18.42,0.03,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.65,0,1.03,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.22,0,0,0.03,0,0,0,0,0,0,0,0.08,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,1.57,0,0,0,0,0,0.77,2.06,5.62,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,19.01,0,0.09,0,0,0,0,0,0,0,0,1.23,0.6,0,0,0,0,0,0,0,0
