kingdom	phylum	class	order	family	genus	species
k__Bacteria	p_Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	Abiotrophia	Abiotrophia_defectiva
k__Viruses	p_Nucleocytoviricota	c__Megaviricetes	o__Imitervirales	f__Mimiviridae	Mimivirus	Acanthamoeba_polyphaga_mimivirus
k__Viruses	p_Nucleocytoviricota	c__Megaviricetes	o__Algavirales	f__Phycodnaviridae	Chlorovirus	Acanthocystis_turfacea_chlorella_virus_1
k__Bacteria	p_Cyanobacteria		o__Synechococcales	f__Acaryochloridaceae	Acaryochloris	Acaryochloris_marina
k__Bacteria	p_Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium_sticklandii
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_aceti
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_ascendens
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_ghanensis
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_orientalis
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_oryzifermentans
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_oryzoeni
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_pasteurianus
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_persici
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_pomorum
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_senegalensis
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_KACC_21233
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acetobacter	Acetobacter_tropicalis
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae		Acetobacteraceae_bacterium
k__Bacteria	p_Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	Acetobacterium	Acetobacterium_KB_1
k__Bacteria	p_Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	Acetobacterium	Acetobacterium_woodii
k__Bacteria	p_Firmicutes	c__Clostridia	o__Halanaerobiales	f__Halobacteroidaceae	Acetohalobium	Acetohalobium_arabaticum
k__Bacteria	p_Synergistetes	c__Synergistia	o__Synergistales	f__Synergistaceae	Acetomicrobium	Acetomicrobium_mobile
k__Bacteria	p_Tenericutes	c__Mollicutes	o__Acholeplasmatales	f__Acholeplasmataceae	Acholeplasma	Acholeplasma_axanthum
k__Bacteria	p_Tenericutes	c__Mollicutes	o__Acholeplasmatales	f__Acholeplasmataceae	Acholeplasma	Acholeplasma_brassicae
k__Bacteria	p_Tenericutes	c__Mollicutes	o__Acholeplasmatales	f__Acholeplasmataceae	Acholeplasma	Acholeplasma_hippikon
k__Bacteria	p_Tenericutes	c__Mollicutes	o__Acholeplasmatales	f__Acholeplasmataceae	Acholeplasma	Acholeplasma_laidlawii
k__Bacteria	p_Tenericutes	c__Mollicutes	o__Acholeplasmatales	f__Acholeplasmataceae	Acholeplasma	Acholeplasma_oculi
k__Bacteria	p_Tenericutes	c__Mollicutes	o__Acholeplasmatales	f__Acholeplasmataceae	Acholeplasma	Acholeplasma_palmae
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	Achromobacter	Achromobacter_denitrificans
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	Achromobacter	Achromobacter_insolitus
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	Achromobacter	Achromobacter_pestifer
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Myoviridae	Mieseafarmvirus	Achromobacter_phage_Motura
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	Achromobacter	Achromobacter_ruhlandii
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	Achromobacter	Achromobacter_AONIH1
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	Achromobacter	Achromobacter_B7
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	Achromobacter	Achromobacter_MFA1_R4
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	Achromobacter	Achromobacter_spanius
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Siphoviridae	Steinhofvirus	Achromobacter_virus_83_24
k__Viruses	p_Uroviricota	c__Caudoviricetes	o__Caudovirales	f__Podoviridae	Jwalphavirus	Achromobacter_virus_Axp3
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	Achromobacter	Achromobacter_xylosoxidans
k__Bacteria	p_Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	Acidaminococcus	Acidaminococcus_fermentans
k__Bacteria	p_Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	Acidaminococcus	Acidaminococcus_intestini
k__Viruses				f__Ampullaviridae	Ampullavirus	Acidianus_bottle_shaped_virus
k__Archaea	p_Crenarchaeota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae	Acidianus	Acidianus_brierleyi
k__Viruses			o__Ligamenvirales	f__Lipothrixviridae	Betalipothrixvirus	Acidianus_filamentous_virus_7
k__Archaea	p_Crenarchaeota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae	Acidianus	Acidianus_hospitalis
k__Viruses				f__Fuselloviridae	Betafusellovirus	Acidianus_spindle_shaped_virus_1
k__Archaea	p_Crenarchaeota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae	Acidianus	Acidianus_sulfidivorans
k__Viruses				f__Bicaudaviridae		Acidianus_tailed_spindle_virus
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acidibrevibacterium	Acidibrevibacterium_fodinaquatile
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	Acidiferrobacter	Acidiferrobacter_SPIII_3
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter_ferrooxidans
k__Bacteria	p_Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter_prosperus
k__Archaea	p_Crenarchaeota	c__Thermoprotei	o__Acidilobales	f__Acidilobaceae	Acidilobus	Acidilobus_saccharovorans
k__Archaea	p_Crenarchaeota	c__Thermoprotei	o__Acidilobales	f__Acidilobaceae	Acidilobus	Acidilobus_7A
k__Bacteria	p_Actinobacteria	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	Acidimicrobium	Acidimicrobium_ferrooxidans
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acidiphilium	Acidiphilium_cryptum
k__Bacteria	p_Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Acetobacteraceae	Acidiphilium	Acidiphilium_multivorum
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium_acidipropionici
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium_jensenii
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium_virtanenii
k__Bacteria	p_Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	Acidisarcina	Acidisarcina_polymorpha
k__Bacteria	p_Proteobacteria	c__Acidithiobacillia	o__Acidithiobacillales	f__Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus_caldus
k__Bacteria	p_Proteobacteria	c__Acidithiobacillia	o__Acidithiobacillales	f__Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus_ferridurans
k__Bacteria	p_Proteobacteria	c__Acidithiobacillia	o__Acidithiobacillales	f__Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus_ferrivorans
k__Bacteria	p_Proteobacteria	c__Acidithiobacillia	o__Acidithiobacillales	f__Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus_ferrooxidans
k__Bacteria	p_Proteobacteria	c__Acidithiobacillia	o__Acidithiobacillales	f__Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus_AMD_consortium
k__Bacteria	p_Proteobacteria	c__Acidithiobacillia	o__Acidithiobacillales	f__Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus_thiooxidans
k__Bacteria	p_Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae	Acidobacterium	Acidobacterium_capsulatum
k__Bacteria	p_Actinobacteria	c__Actinobacteria	o__Acidothermales	f__Acidothermaceae	Acidothermus	Acidothermus_cellulolyticus
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Acidovorax	Acidovorax_avenae
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Acidovorax	Acidovorax_carolinensis
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Acidovorax	Acidovorax_cattleyae
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Acidovorax	Acidovorax_citrulli
k__Bacteria	p_Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	Acidovorax	Acidovorax_ebreus
