OTU_ID	Kingdom	Phylum	Class	Order	Family	genus	Species
7541c2896cda23f38eb254886857274e	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Ruminococcaceae	uncultured	s_uncultured bacterium
c187826593814b81680e177c82e899f4	Unassigned						
954b9b561ace020fd6cb2df22c5eab03	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Peptostreptococcaceae	Eubacterium	
46eb7c4c90ca4c4a92fb021dba507d16	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	Lachnospiraceae	s_uncultured bacterium
1b66506ea4cd3fdbbb3640368592d6e3	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Sphingobacteriales	f_env.OPS 17	uncultured	s_uncultured bacterium
ac11726e4c3f29d2e1beb38dc31eb68e	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Eggerthellaceae	Eggerthella	s_uncultured bacterium
66295576db01969194b5338319b38b1f	k_Bacteria	p_Proteobacteria	c_Gammaproteobacteria	o_Betaproteobacteriales	f_Nitrosomonadaceae	MND1	s_uncultured Nitrosomonadales bacterium
2700a049aae19515c4d3baf564006fb3	k_Bacteria	p_Cyanobacteria	c_Oxyphotobacteria	o_Nostocales	f_Chroococcidiopsaceae	Chroococcidiopsis	s_uncultured bacterium
e9cdd6ac3f48c8d99ab2e148a1747a6f	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	Eubacterium	
954f8a23b18bb5ade77fdd946dcdec3b	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Ruminococcaceae	Ruminococcaceae	s_uncultured bacterium
1d67acfcf9994f9f9d3b9607adda39c2	k_Bacteria	p_Gemmatimonadetes	c_Gemmatimonadetes	o_Gemmatimonadales	f_Gemmatimonadaceae	uncultured	s_Gemmatimonadetes bacterium LX87
7d249e68b24ecc5c17b382197d44b4ab	Unassigned						
afadd307a7f1583dcee9bc15ec12dda0	k_Bacteria	p_Synergistetes	c_Synergistia	o_Synergistales	f_Synergistaceae	Jonquetella	s_Jonquetella anthropi DSM 22815
7572fe91a5c1925033585631b90b3285	k_Bacteria	p_Proteobacteria	c_Alphaproteobacteria	o_Rhizobiales	f_Rhizobiales Incertae Sedis	Nordella	s_Nordella oligomobilis
0cf912c8a21704f30a36f8fb50e2138d	k_Eukaryota	p_Opisthokonta	c_Holozoa	o_Metazoa (Animalia)	D_10__Tetrapoda	D_11__Mammalia	D_12__Pan troglodytes (chimpanzee)
dcefa4539bd8aeab08252993ff278bb8	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Prevotellaceae	Prevotellaceae	s_uncultured bacterium
0a6b43189a2d570a8276d902498eb476	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	Porphyromonas	
46aa11c1f2413d5ad48f6651083cae17	k_Bacteria	p_Spirochaetes	c_Spirochaetia	o_Spirochaetales	f_Spirochaetaceae	Treponema	
e43907c52e9002025c644e3b4dcc9178	Unassigned						
23f3e13737b963465d377f121be221d1	k_Bacteria	p_Chloroflexi	c_Ktedonobacteria	o_C0119	f_uncultured bacterium	uncultured	s_uncultured bacterium
224aef54c4e1f39d5c9213d50f2704e0	k_Bacteria	p_Proteobacteria	c_Deltaproteobacteria	o_Bdellovibrionales	f_Bdellovibrionaceae	Bdellovibrio	s_uncultured bacterium
6a29396a003e200460372e8f5b5efbda	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Veillonellaceae	Veillonella	
42b4dcb3c743c7f318e4833d25386600	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae		
b8262a986a51c0c8dffd4f06f4b1ca46	k_Bacteria	p_Acidobacteria	c_Acidobacteriia	o_Acidobacteriales	f_uncultured		
01a0a252dc6153f4c20a6b181fe0537c	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Ruminococcaceae	uncultured	s_uncultured Clostridium sp.
804392875955b7813407aaa02cee9c19	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Clostridiales vadinBB60 group		
4129cf91ddda8a55d531ff1ebf252c10	k_Bacteria						
327030601783e459a9a25e0aec54073f	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Ruminococcaceae	Ruminococcaceae	s_Clostridiales bacterium canine oral taxon 100
e525ead2a73082ee3f9d353df4f7386c	k_Bacteria	p_Actinobacteria	c_Thermoleophilia	o_Solirubrobacterales	f_Solirubrobacteraceae	Conexibacter	s_metagenome
eafa1469765bb829e5110b4eaa08ad32	k_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	Butyrivibrio	s_Eubacterium sp. oral clone GI038
